BIOGUIDE_ID,OFFICE,QUARTER,PROGRAM,CATEGORY,DATE,TRANSCODE,RECORDID,PAYEE,START DATE,END DATE,PURPOSE,AMOUNT,YEAR,RECIP (orig.)
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/12/2017,AP,897386,NAVIENT,11/1/2016,11/30/2016,STUDENT LOANS,600,2016,NAVIENT
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898535,DEPT OF EDUC VIA FEDLOAN SVC,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898538,VERMONT STUDENT ASSISTANCE,1/1/2017,1/31/2017,STUDENT LOANS,617,2017,VERMONT STUDENT ASSISTANCE
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898539,DEPT OF EDUCATION/GREAT LAKES - DOE,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/GREAT LAKES - DOE
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898540,DEPT OF EDUC VIA FEDLOAN SVC,1/1/2017,1/31/2017,STUDENT LOANS,600,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898541,DEPT OF EDUC VIA FEDLOAN SVC,1/1/2017,1/31/2017,STUDENT LOANS,800,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898544,DEPT OF EDUCATION/NELNET,1/1/2017,1/31/2017,STUDENT LOANS,523.71,2017,DEPT OF EDUCATION/NELNET
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898545,DEPT OF EDUCATION/NAVIENT,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/NAVIENT
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898552,DEPT OF EDUC VIA FEDLOAN SVC,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898553,DEPT OF EDUCATION/NELNET,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/NELNET
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898555,DEPT OF EDUC VIA FEDLOAN SVC,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898560,DEPT OF EDUCATION/GREAT LAKES - DOE,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/GREAT LAKES - DOE
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898561,ACS,1/1/2017,1/31/2017,STUDENT LOANS,557,2017,ACS
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898562,DEPT OF EDUC VIA FEDLOAN SVC,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898569,DEPT OF EDUCATION/MOHELA,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/MOHELA
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898570,DEPT OF EDUC VIA FEDLOAN SVC,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898571,DEPT OF EDUC VIA FEDLOAN SVC,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898574,DEPT OF EDUCATION/MOHELA,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/MOHELA
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898575,DEPT OF EDUC VIA FEDLOAN SVC,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898576,DEPT OF EDUCATION/NELNET,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/NELNET
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898578,DEPT OF EDUCATION/NAVIENT,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/NAVIENT
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898579,DEPT OF EDUCATION/NAVIENT,1/1/2017,1/31/2017,STUDENT LOANS,519,2017,DEPT OF EDUCATION/NAVIENT
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898586,DEPT OF EDUCATION/NAVIENT,1/1/2017,1/31/2017,STUDENT LOANS,600,2017,DEPT OF EDUCATION/NAVIENT
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898588,DEPT OF EDUCATION/NELNET,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/NELNET
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898589,AMERICAN EDUCATION SERVICES,1/1/2017,1/31/2017,STUDENT LOANS,762.47,2017,AMERICAN EDUCATION SERVICES
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898593,DEPT OF EDUCATION/NELNET,1/1/2017,1/31/2017,STUDENT LOANS,750,2017,DEPT OF EDUCATION/NELNET
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898594,DEPT OF EDUCATION/NELNET,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/NELNET
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898595,DEPT OF EDUC VIA FEDLOAN SVC,1/1/2017,1/31/2017,STUDENT LOANS,733.2,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898596,DEPT OF EDUCATION/NELNET,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/NELNET
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898597,DEPT OF EDUC VIA FEDLOAN SVC,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898598,DEPT OF EDUCATION/NAVIENT,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/NAVIENT
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898599,DEPT OF EDUCATION/NAVIENT,1/1/2017,1/31/2017,STUDENT LOANS,830,2017,DEPT OF EDUCATION/NAVIENT
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898600,DEPT OF EDUCATION/NAVIENT,1/1/2017,1/31/2017,STUDENT LOANS,511.42,2017,DEPT OF EDUCATION/NAVIENT
